DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
VALDEACEDERAS,63,079-06-112,1993-07-01,['1'],U,N,Calle,441183.0,4479745.0,[]
PUERTA DEL SUR,-1,007-011,2003-01-01,"['10', ' 12']",U,T,Avda,431138.0,4466601.0,[]
JOAQUIN VILUMBRALES,-1,007-012,2003-01-01,['10'],U,T,Avda,431560.0,4467108.0,[]
ABRANTES,117,079-11-296,1993-07-01,['11'],U,T,Avda,438322.0,4470489.0,[]
PAN BENDITO,117,079-11-302,1993-07-01,['11'],U,T,Avda,437786.0,4469942.0,[]
PORTAZGO,133,079-13-358,1993-07-01,['1'],U,T,Avda,444208.0,4471756.0,[]
PARQUE LISBOA,-1,007-010,2003-01-01,['12'],U,T,Calle,430371.0,4467101.0,[]
PARQUE OESTE,-1,007-008,2003-01-01,['12'],U,T,Calle,427977.0,4466703.0,[]
UNIVERSIDAD REY JUAN CARLOS,-1,092-004,2003-01-01,['12'],U,T,Calle,426025.0,4465526.0,[]
PRADILLO,-1,092-017,2003-01-01,['12'],U,T,Calle,426630.0,4464028.0,[]
LAGUNA,101,079-10-264,1993-07-01,['6'],U,T,Calle,436948.0,4472543.0,['C-5']
HOSPITAL DE MOSTOLES,-1,092-024,2003-01-01,['12'],U,T,Calle,425790.0,4463464.0,[]
CONSERVATORIO,-1,065-027,2003-01-01,['12'],U,T,Avda,436724.0,4460780.0,[]
LORANCA,-1,058-003,2003-01-01,['12'],U,T,Calle,428915.0,4461245.0,[]
HOSPITAL DE FUENLABRADA,-1,058-014,2003-01-01,['12'],U,T,Cmno,430711.0,4460001.0,[]
PARQUE EUROPA,-1,058-016,2003-01-01,['12'],U,T,Calle,431569.0,4459929.0,[]
AVENIDA DE GUADALAJARA,204,079-20-571,2011-03-16,['2'],U,T,Avda,448187.0,4475028.0,[]
LAS ROSAS,205,079-20-572,2011-03-16,['2'],U,T,Paseo,448931.0,4475173.0,[]
MENDEZ ALVARO,27,079-02-044,1993-07-01,['6'],U,N,Calle,442559.0,4472070.0,"['C-1', ' C-10', ' C-5']"
OPORTO,112,079-11-283,1993-07-01,"['5', ' 6']",U,N,Gta,438039.0,4471339.0,[]
OPORTO,112,079-11-283,1993-07-01,"['5', ' 6']",U,N,Gta,438044.0,4471339.0,[]
PALOS DE LA FRONTERA,26,079-02-030,1993-07-01,['3'],U,T,Calle,441200.0,4472935.0,[]
CANAL,72,079-07-132,1993-07-01,"['2', ' 7']",U,T,Calle,440374.0,4476864.0,[]
QUEVEDO,73,079-07-138,1993-07-01,['2'],U,N,Gta,440369.0,4476288.0,[]
PARQUE DE LOS ESTADOS,-1,058-019,2003-01-01,['12'],U,T,Calle,433215.0,4460099.0,[]
