DENOMINACION,BARRIO,CORONATARIFARIA,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
SAN FERNANDO,-1,B1,2007-01-01,U,T,Calle,454691.0,4475210.0,[],"[{'linea': '7', 'orden': 28}]"
JARAMA,-1,B1,2007-01-01,U,T,Plaza,455531.0,4475043.0,[],"[{'linea': '7', 'orden': 29}]"
HENARES,191,B1,2007-01-01,U,T,Avda,455385.0,4474468.0,[],"[{'linea': '7', 'orden': 30}]"
LAS SUERTES,181,B1,2007-01-01,U,T,Calle,449206.0,4468453.0,[],"[{'linea': '1', 'orden': 31}]"
VALDECARROS,181,A,2007-01-01,U,T,Avda,449744.0,4468099.0,[],"[{'linea': '1', 'orden': 32}]"
IGLESIA,73,A,1993-07-01,U,T,Gta,440825.0,4476473.0,[],"[{'linea': '1', 'orden': 11}]"
SIERRA DE GUADALUPE,134,A,1993-07-01,U,T,Avda,447082.0,4470570.0,"['C-2', 'C-7', 'C-8', 'C-8a']","[{'linea': '1', 'orden': 27}]"
BAMBU,56,A,2007-01-01,U,T,Calle,442778.0,4481109.0,[],"[{'linea': '1', 'orden': 2}]"
CANAL,76,A,1993-07-01,U,T,Calle,440327.0,4476897.0,[],"[{'linea': '2', 'orden': 19}, {'linea': '7', 'orden': 11}]"
RONDA DE LA COMUNICACION,86,A,2007-01-01,U,T,Ronda,443963.0,4485398.0,[],"[{'linea': '10', 'orden': 8}]"
EMBAJADORES,12,A,1993-07-01,U,T,Gta,440485.0,4473168.0,['C-5'],"[{'linea': '3', 'orden': 12}]"
MONCLOA,92,A,1993-07-01,U,T,Paseo,439089.0,4476492.0,[],"[{'linea': '3', 'orden': 19}, {'linea': '6', 'orden': 7}]"
ALUCHE,104,A,1993-07-01,U,T,Calle,435534.0,4471045.0,['C-5'],"[{'linea': '5', 'orden': 4}]"
ACACIAS,22,A,1993-07-01,U,N,Paseo,440147.0,4473032.0,[],"[{'linea': '5', 'orden': 12}]"
LEGAZPI,24,A,1993-07-01,U,T,Plaza,441120.0,4471613.0,[],"[{'linea': '3', 'orden': 9}, {'linea': '6', 'orden': 23}]"
PRINCIPE PIO,91,A,1993-07-01,U,P,Paseo,439002.0,4474950.0,"['C-1', 'C-10', 'C-7']","[{'linea': '6', 'orden': 5}, {'linea': '10', 'orden': 23}, {'linea': 'R', 'orden': 2}]"
FUENCARRAL,86,A,1998-01-01,U,N,Calle,441399.0,4483147.0,[],"[{'linea': '10', 'orden': 12}]"
CUZCO,54,A,1998-01-01,U,N,Paseo,441619.0,4479076.0,[],"[{'linea': '10', 'orden': 16}]"
SANTIAGO BERNABEU,51,A,1998-01-01,U,N,Paseo,441569.0,4478317.0,[],"[{'linea': '10', 'orden': 17}]"
VALDEACEDERAS,63,A,1993-07-01,U,N,Calle,441183.0,4479745.0,[],"[{'linea': '1', 'orden': 5}]"
JOAQUIN VILUMBRALES,-1,A,2003-01-01,U,T,Avda,431560.0,4467108.0,[],"[{'linea': '10', 'orden': 30}]"
ABRANTES,117,B1,1993-07-01,U,T,Avda,438322.0,4470489.0,[],"[{'linea': '11', 'orden': 2}]"
PAN BENDITO,117,A,1993-07-01,U,T,Avda,437786.0,4469942.0,[],"[{'linea': '11', 'orden': 3}]"
PORTAZGO,133,A,1993-07-01,U,T,Avda,444208.0,4471756.0,[],"[{'linea': '1', 'orden': 23}]"
PARQUE LISBOA,-1,A,2003-01-01,U,T,Calle,430371.0,4467101.0,[],"[{'linea': '12', 'orden': 2}]"
PARQUE OESTE,-1,B1,2003-01-01,U,T,Calle,427977.0,4466703.0,[],"[{'linea': '12', 'orden': 4}]"
UNIVERSIDAD REY JUAN CARLOS,-1,B1,2003-01-01,U,T,Calle,426025.0,4465526.0,[],"[{'linea': '12', 'orden': 5}]"
PRADILLO,-1,B2,2003-01-01,U,T,Calle,426630.0,4464028.0,[],"[{'linea': '12', 'orden': 7}]"
LAGUNA,101,B2,1993-07-01,U,T,Calle,436948.0,4472543.0,['C-5'],"[{'linea': '6', 'orden': 1}]"
HOSPITAL DE MOSTOLES,-1,A,2003-01-01,U,T,Calle,425790.0,4463464.0,[],"[{'linea': '12', 'orden': 8}]"
CONSERVATORIO,-1,B2,2003-01-01,U,T,Avda,436724.0,4460780.0,[],"[{'linea': '12', 'orden': 16}]"
LORANCA,-1,B1,2003-01-01,U,T,Calle,428915.0,4461245.0,[],"[{'linea': '12', 'orden': 10}]"
HOSPITAL DE FUENLABRADA,-1,B2,2003-01-01,U,T,Cmno,430711.0,4460001.0,[],"[{'linea': '12', 'orden': 11}]"
PARQUE EUROPA,-1,B2,2003-01-01,U,T,Calle,431569.0,4459929.0,[],"[{'linea': '12', 'orden': 12}]"
AVENIDA DE GUADALAJARA,204,B2,2011-03-16,U,T,Avda,448187.0,4475028.0,[],"[{'linea': '2', 'orden': 2}]"
LAS ROSAS,205,A,2011-03-16,U,T,Paseo,448931.0,4475173.0,[],"[{'linea': '2', 'orden': 1}]"
MENDEZ ALVARO,27,A,1993-07-01,U,N,Calle,442559.0,4472070.0,"['C-1', 'C-10', 'C-5']","[{'linea': '6', 'orden': 21}]"
OPORTO,112,A,1993-07-01,U,N,Gta,438039.0,4471339.0,[],"[{'linea': '5', 'orden': 8}, {'linea': '6', 'orden': 27}]"
PALOS DE LA FRONTERA,26,A,1993-07-01,U,T,Calle,441200.0,4472935.0,[],"[{'linea': '3', 'orden': 11}]"
QUEVEDO,73,A,1993-07-01,U,N,Gta,440369.0,4476288.0,[],"[{'linea': '2', 'orden': 18}]"
PARQUE DE LOS ESTADOS,-1,A,2003-01-01,U,T,Calle,433215.0,4460099.0,[],"[{'linea': '12', 'orden': 14}]"
ARROYO CULEBRO,-1,B2,2003-01-01,U,T,Paseo,435780.0,4460288.0,[],"[{'linea': '12', 'orden': 15}]"
ALONSO DE MENDOZA,-1,B1,2003-01-01,U,T,Calle,437507.0,4461613.0,[],"[{'linea': '12', 'orden': 17}]"
JUAN DE LA CIERVA,-1,B1,2003-01-01,U,T,Avda,438740.0,4462823.0,[],"[{'linea': '12', 'orden': 19}]"
LOS ESPARTALES,-1,B1,2003-01-01,U,T,Avda,439095.0,4464199.0,[],"[{'linea': '12', 'orden': 21}]"
ALTO DEL ARENAL,135,B1,1993-07-01,U,T,Calle,445348.0,4471427.0,[],"[{'linea': '1', 'orden': 25}]"
EL CARRASCAL,-1,A,2003-01-01,U,T,Avda,437239.0,4465592.0,[],"[{'linea': '12', 'orden': 23}]"
JULIAN BESTEIRO,-1,B1,2003-01-01,U,T,Avda,436177.0,4465391.0,[],"[{'linea': '12', 'orden': 24}]"
DELICIAS,25,B1,1993-07-01,U,T,Paseo,441200.0,4472583.0,[],"[{'linea': '3', 'orden': 10}]"
